timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731676586449,278,getHost,200,OK,LoginThreadGroup 1-1,text,true,,6176,288,14,41,http://localhost/login_page.php,174,0,39
1731676586449,174,getHost-0,302,Found,LoginThreadGroup 1-1,text,true,,719,114,14,41,http://localhost/,174,0,39
1731676586627,100,getHost-1,200,OK,LoginThreadGroup 1-1,text,true,,5457,174,14,41,http://localhost/login_page.php,100,0,0
1731676587002,166,getHost,200,OK,LoginThreadGroup 1-23,text,true,,6176,288,28,83,http://localhost/login_page.php,77,0,1
1731676587002,77,getHost-0,302,Found,LoginThreadGroup 1-23,text,true,,719,114,28,83,http://localhost/,77,0,1
1731676587079,89,getHost-1,200,OK,LoginThreadGroup 1-23,text,true,,5457,174,28,83,http://localhost/login_page.php,89,0,0
1731676588347,162,getHost,200,OK,UpdateTagTreahGroup 3-1,text,true,,6176,288,30,90,http://localhost/login_page.php,78,0,1
1731676588347,78,getHost-0,302,Found,UpdateTagTreahGroup 3-1,text,true,,719,114,30,90,http://localhost/,78,0,1
1731676588426,83,getHost-1,200,OK,UpdateTagTreahGroup 3-1,text,true,,5457,174,30,90,http://localhost/login_page.php,83,0,0
1731676588509,84,postLogin,200,OK,UpdateTagTreahGroup 3-1,text,true,,5628,311,30,90,http://localhost/login_password_page.php,84,0,0
1731676591353,175,getHost,200,OK,UpdateTagTreahGroup 3-2,text,true,,6176,288,30,90,http://localhost/login_page.php,86,0,1
1731676591353,86,getHost-0,302,Found,UpdateTagTreahGroup 3-2,text,true,,719,114,30,90,http://localhost/,86,0,1
1731676591441,87,getHost-1,200,OK,UpdateTagTreahGroup 3-2,text,true,,5457,174,30,90,http://localhost/login_page.php,87,0,0
1731676591353,190,getHost,200,OK,LoginThreadGroup 1-4,text,true,,6176,288,30,90,http://localhost/login_page.php,99,0,1
1731676591353,99,getHost-0,302,Found,LoginThreadGroup 1-4,text,true,,719,114,30,90,http://localhost/,99,0,1
1731676591454,89,getHost-1,200,OK,LoginThreadGroup 1-4,text,true,,5457,174,30,90,http://localhost/login_page.php,89,0,0
1731676594382,151,getHost,200,OK,CreateTagThreadGroup 2-3,text,true,,6176,288,30,90,http://localhost/login_page.php,73,0,1
1731676594382,73,getHost-0,302,Found,CreateTagThreadGroup 2-3,text,true,,719,114,30,90,http://localhost/,73,0,1
1731676594456,77,getHost-1,200,OK,CreateTagThreadGroup 2-3,text,true,,5457,174,30,90,http://localhost/login_page.php,77,0,0
1731676594382,155,getHost,200,OK,UpdateTagTreahGroup 3-3,text,true,,6176,288,30,90,http://localhost/login_page.php,73,0,1
1731676594382,73,getHost-0,302,Found,UpdateTagTreahGroup 3-3,text,true,,719,114,30,90,http://localhost/,73,0,1
1731676594456,81,getHost-1,200,OK,UpdateTagTreahGroup 3-3,text,true,,5457,174,30,90,http://localhost/login_page.php,81,0,0
1731676594533,76,postLogin,200,OK,CreateTagThreadGroup 2-3,text,true,,5649,318,30,90,http://localhost/login_password_page.php,76,0,0
1731676598420,174,getHost,200,OK,UpdateTagTreahGroup 3-4,text,true,,6176,288,30,90,http://localhost/login_page.php,87,0,1
1731676598420,174,getHost,200,OK,UpdateTagTreahGroup 3-5,text,true,,6176,288,30,90,http://localhost/login_page.php,87,0,1
1731676598420,87,getHost-0,302,Found,UpdateTagTreahGroup 3-4,text,true,,719,114,30,90,http://localhost/,87,0,1
1731676598420,87,getHost-0,302,Found,UpdateTagTreahGroup 3-5,text,true,,719,114,30,90,http://localhost/,87,0,1
1731676598507,87,getHost-1,200,OK,UpdateTagTreahGroup 3-4,text,true,,5457,174,30,90,http://localhost/login_page.php,87,0,0
1731676598507,87,getHost-1,200,OK,UpdateTagTreahGroup 3-5,text,true,,5457,174,30,90,http://localhost/login_page.php,87,0,0
1731676598420,183,getHost,200,OK,CreateTagThreadGroup 2-5,text,true,,6176,288,30,90,http://localhost/login_page.php,94,0,1
1731676598420,94,getHost-0,302,Found,CreateTagThreadGroup 2-5,text,true,,719,114,30,90,http://localhost/,94,0,1
1731676598514,89,getHost-1,200,OK,CreateTagThreadGroup 2-5,text,true,,5457,174,30,90,http://localhost/login_page.php,89,0,0
1731676598595,84,postLogin,200,OK,UpdateTagTreahGroup 3-4,text,true,,5637,314,30,90,http://localhost/login_password_page.php,84,0,0
1731676598595,94,postLogin,200,OK,UpdateTagTreahGroup 3-5,text,true,,5649,318,30,90,http://localhost/login_password_page.php,94,0,0
1731676604499,197,getHost,200,OK,LoginThreadGroup 1-7,text,true,,6176,288,30,90,http://localhost/login_page.php,91,0,1
1731676604499,91,getHost-0,302,Found,LoginThreadGroup 1-7,text,true,,719,114,30,90,http://localhost/,91,0,1
1731676604590,106,getHost-1,200,OK,LoginThreadGroup 1-7,text,true,,5457,174,30,90,http://localhost/login_page.php,106,0,0
1731676604499,206,getHost,200,OK,CreateTagThreadGroup 2-8,text,true,,6176,288,30,90,http://localhost/login_page.php,107,0,1
1731676604499,107,getHost-0,302,Found,CreateTagThreadGroup 2-8,text,true,,719,114,30,90,http://localhost/,107,0,1
1731676604607,98,getHost-1,200,OK,CreateTagThreadGroup 2-8,text,true,,5457,174,30,90,http://localhost/login_page.php,98,0,0
1731676604500,205,getHost,200,OK,UpdateTagTreahGroup 3-7,text,true,,6176,288,30,90,http://localhost/login_page.php,99,0,0
1731676604500,99,getHost-0,302,Found,UpdateTagTreahGroup 3-7,text,true,,719,114,30,90,http://localhost/,99,0,0
1731676604599,106,getHost-1,200,OK,UpdateTagTreahGroup 3-7,text,true,,5457,174,30,90,http://localhost/login_page.php,106,0,0
1731676604499,215,getHost,200,OK,CreateTagThreadGroup 2-7,text,true,,6176,288,30,90,http://localhost/login_page.php,91,0,1
1731676604499,91,getHost-0,302,Found,CreateTagThreadGroup 2-7,text,true,,719,114,30,90,http://localhost/,91,0,1
1731676604590,124,getHost-1,200,OK,CreateTagThreadGroup 2-7,text,true,,5457,174,30,90,http://localhost/login_page.php,124,0,0
1731676604499,256,getHost,200,OK,LoginThreadGroup 1-8,text,true,,6176,288,30,90,http://localhost/login_page.php,108,0,1
1731676604499,108,getHost-0,302,Found,LoginThreadGroup 1-8,text,true,,719,114,30,90,http://localhost/,108,0,1
